sample_id,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,03_mgL,02_mgL,Number.Days.Since.Precip,pH,Precipitation.Within.Week,Primary.Sources.Flow.Variation,Sediment,SO4_mgL,Stream_Order,Temp_degC,altS,MAT,MAP,cluster
SW_S19S.0047_U_3,0.16,1,NA,NA,0.04,16,1,1,0.15,0.04,0,6.5,1,5,1,33.22,,8.5,750,-11.4,225,sw_0
SW_S19S.0048_U_1,7.74,1,-2.76,-8.4,0.02,4,1,1,1.29,0.04,2,7.5,1,5,1,3.49,,24.5,,,,sw_1
SW_S19S.0048_U_2,7.78,1,NA,NA,0.02,4,1,1,1.31,0.04,2,7.5,1,5,1,3.73,,24.5,,,,sw_1
SW_S19S.0048_U_3,7.71,1,NA,NA,0.03,4,1,1,1.28,0.04,2,7.5,1,5,1,3.49,,24.5,,,,sw_2
SW_S19S.0049_U_1,6.64,1,-3.23,-12.3,0.06,7,2,1,0.66,0.04,,7.5,1,5,1,4.86,,22.9,603,21.8,2421,sw_0
SW_S19S.0049_U_2,6.53,1,NA,NA,0.06,7,2,1,0.63,0.04,,7.5,1,5,1,4.75,,22.9,603,21.8,2421,sw_1
SW_S19S.0049_U_3,6.45,1,NA,NA,0.06,7,2,1,0.59,0.04,,7.5,1,5,1,4.71,,22.9,603,21.8,2421,sw_2
SW_S19S.0050_U_1,0.38,1,-18.68,-142.4,0.04,16,1,0,0.12,0.04,0,6.5,1,4,1,5.25,,9.6,730,-11.3,225,sw_2
SW_S19S.0050_U_2,0.27,1,NA,NA,0.04,16,1,0,0.12,0.04,0,6.5,1,4,1,4.02,,9.6,730,-11.3,225,sw_2
SW_S19S.0050_U_3,0.21,1,NA,NA,0.03,16,1,0,0.12,0.04,0,6.5,1,4,1,2.57,,9.6,730,-11.3,225,sw_0
SW_S19S.0051_U_1,0.16,1,-17.64,-136.7,0.06,3,1,1,1.23,0.04,0,6.5,1,20,1,2.68,,4.5,132,-2.8,310,sw_2
SW_S19S.0051_U_2,0.16,1,NA,NA,0.04,3,1,1,1.21,0.04,0,6.5,1,20,1,2.58,,4.5,132,-2.8,310,sw_2
SW_S19S.0051_U_3,0.16,1,NA,NA,0.04,3,1,1,1.27,0.04,0,6.5,1,20,1,2.58,,4.5,132,-2.8,310,sw_2
SW_S19S.0052_U_1,16.75,,-9.52,-60.3,0.04,11,2,1,0.41,0.04,,6.5,NA,20,1,3.87,2,20.3,417,7.1,1052,sw_0
SW_S19S.0052_U_2,16.6,,NA,NA,0.04,11,2,1,0.45,0.04,,6.5,NA,20,1,3.82,2,20.3,417,7.1,1052,sw_2
SW_S19S.0052_U_3,16.81,,NA,NA,0.04,11,2,1,0.41,0.04,,6.5,NA,20,1,3.74,2,20.3,417,7.1,1052,sw_0
SW_S19S.0053_U_1,58.81,,-7.66,-47.6,0.05,3,1,0,2.89,0.04,,6.5,NA,20,2,14.99,1,22.78,48,9.6,1172,sw_0
SW_S19S.0053_U_2,59.25,,NA,NA,0.04,3,1,0,2.99,0.04,,6.5,NA,20,2,15.19,1,22.78,48,9.6,1172,sw_0
SW_S19S.0053_U_3,59.8,,NA,NA,0.05,3,1,0,2.93,0.04,,6.5,NA,20,2,15.47,1,22.78,48,9.6,1172,sw_0
SW_S19S.0054_U_1,18.79,1,-4.32,-27.4,0.08,16,1,1,0.12,0.04,1,6.7,1,5,3,7.06,5,29.1,2,14.3,1101,sw_0
SW_S19S.0054_U_2,18.83,1,NA,NA,0.1,16,1,1,0.12,0.04,1,6.7,1,5,3,6.81,5,29.1,2,14.3,1101,sw_0
SW_S19S.0054_U_3,19.28,1,NA,NA,0.08,16,1,1,0.12,0.04,1,6.7,1,5,3,6.94,5,29.1,2,14.3,1101,sw_2
SW_S19S.0055_U_1,79.08,1,-14.34,-113.1,0.39,2,1,1,3.63,0.04,,7.5,0,5,1,38.73,4,20.1,715,8.7,526,sw_0
SW_S19S.0055_U_2,75.34,1,NA,NA,0.41,2,1,1,3.64,0.04,,7.5,0,5,1,36.6,4,20.1,715,8.7,526,sw_0
SW_S19S.0055_U_3,69.51,1,NA,NA,0.35,2,1,1,3.09,0.04,,7.5,0,5,1,33.87,4,20.1,715,8.7,526,sw_0
SW_S19S.0056_U_1,17.75,3,-7.68,-58,0.15,17,2,1,2.93,0.07,4,6.5,1,5,2,24.1,,31,68,14.2,1433,sw_1
SW_S19S.0056_U_2,16.8,3,NA,NA,0.15,17,2,1,2.9,0.06,4,6.5,1,5,2,23.31,,31,68,14.2,1433,sw_0
SW_S19S.0057_U_1,1.31,1,-4.13,-20.6,0.03,3,0,0,0.12,0.04,6,7,1,5,3,0.39,2,25.3,86,17.2,1183,sw_0
SW_S19S.0057_U_2,1.31,1,NA,NA,0.04,3,0,0,0.12,0.04,6,7,1,5,3,0.7,2,25.3,86,17.2,1183,sw_0
SW_S19S.0057_U_3,1.31,1,NA,NA,0.03,3,0,0,0.12,0.04,6,7,1,5,3,0.4,2,25.3,86,17.2,1183,sw_0
SW_S19S.0058_U_1,14.32,1,NA,NA,0.09,6,1,1,7.05,0.04,,7.5,0,5,3,15.74,,26,-164,21.9,412,sw_1
SW_S19S.0058_U_2,13.98,1,-6.83,-34.1,0.1,6,1,1,7.05,0.04,,7.5,0,5,3,15.81,,26,-164,21.9,412,sw_1
SW_S19S.0058_U_3,14.26,1,NA,NA,0.09,6,1,1,6.89,0.04,,7.5,0,5,3,15.97,,26,-164,21.9,412,sw_2
SW_S19S.0059_U_1,0.45,1,-15.1,-109.8,0.07,14,1,1,0.12,0.04,0,6.5,1,5,2,4.94,1,11,978,6.3,640,sw_2
SW_S19S.0059_U_2,0.46,1,NA,NA,0.07,14,1,1,0.12,0.04,0,6.5,1,5,2,3.69,1,11,978,6.3,640,sw_2
SW_S19S.0059_U_3,0.45,1,NA,NA,0.07,14,1,1,0.12,0.04,0,6.5,1,5,2,4.55,1,11,978,6.3,640,sw_2
SW_S19S.0060_U_1,8.63,3,-12.76,-96.9,0.15,2,2,1,5.69,0.04,,8,0,8,1,16.44,7,25.6,146,11.8,191,sw_0
SW_S19S.0060_U_2,8.64,3,NA,NA,0.15,2,2,1,5.04,0.04,,8,0,8,1,16.82,7,25.6,146,11.8,191,sw_0
SW_S19S.0060_U_3,8.58,3,NA,NA,0.14,2,2,1,5.05,0.04,,8,0,8,1,16.18,7,25.6,146,11.8,191,sw_2
SW_S19S.0061_U_1,28.24,1,-7.5,-49.2,0.08,17,2,1,9.84,0.08,1,7.5,1,5,3,11.81,1,16.9,280,7.6,811,sw_0
SW_S19S.0061_U_2,27.15,1,NA,NA,0.09,17,2,1,9.46,0.08,1,7.5,1,5,3,11.34,1,16.9,280,7.6,811,sw_0
SW_S19S.0061_U_3,26.34,1,NA,NA,0.09,17,2,1,9.53,0.08,1,7.5,1,5,3,10.88,1,16.9,280,7.6,811,sw_0
SW_S19S.0062_U_1,0.9,2,-16.81,-123.2,0.11,3,2,1,0.12,0.04,4,7.5,1,5,1,13.78,5,14.2,2367,3,313,sw_0
SW_S19S.0062_U_2,0.44,2,NA,NA,0.07,3,2,1,0.12,0.04,4,7.5,1,5,1,4.94,5,14.2,2367,3,313,sw_0
SW_S19S.0062_U_3,0.87,2,NA,NA,0.11,3,2,1,0.12,0.04,4,7.5,1,5,1,13.59,5,14.2,2367,3,313,sw_0
SW_S19S.0063_U_1,29.88,3,-2.72,-19.5,0.17,5,1,1,1.85,0.04,,7.5,0,0,1,29.2,6,24,142,20.2,808,sw_0
SW_S19S.0063_U_2,28.28,3,NA,NA,0.18,5,1,1,1.75,0.04,,7.5,0,0,1,27.58,6,24,142,20.2,808,sw_0
SW_S19S.0063_U_3,28.89,3,NA,NA,0.17,5,1,1,1.82,0.04,,7.5,0,0,1,28.02,6,24,142,20.2,808,sw_0
SW_S19S.0064_U_1,6.73,2,-7.1,-51.1,0.05,2,2,1,5.07,0.06,5,7.7,1,5,1,16.86,4,23.5,227,10.1,968,sw_2
SW_S19S.0064_U_2,6.85,2,NA,NA,0.04,2,2,1,4.99,0.08,5,7.7,1,5,1,17.46,4,23.5,227,10.1,968,sw_0
SW_S19S.0064_U_3,6.71,2,NA,NA,0.06,2,2,1,4.92,0.05,5,7.7,1,5,1,16.5,4,23.5,227,10.1,968,sw_0
SW_S19S.0065_U_1,4.31,2,-7.16,-49.6,0.08,12,1,1,0.12,0.04,,5,0,6,1,11.2,5,22.1,20,14,1024,sw_0
SW_S19S.0065_U_2,4.28,2,NA,NA,0.08,12,1,1,0.12,0.04,,5,0,6,1,10.91,5,22.1,20,14,1024,sw_0
SW_S19S.0065_U_3,4.35,2,NA,NA,0.1,12,1,1,0.12,0.04,,5,0,6,1,11.01,5,22.1,20,14,1024,sw_0
SW_S19S.0066_U_1,3.85,3,-13.12,-96.5,0.24,17,0,1,0.69,0.04,7,6.5,1,7,2,21.56,7,31.2,1524,13.4,221,sw_0
SW_S19S.0066_U_2,3.78,3,NA,NA,0.22,17,0,1,0.66,0.04,7,6.5,1,7,2,21.12,7,31.2,1524,13.4,221,sw_0
SW_S19S.0067_U_1,12.15,1,-8.77,-57.9,0.08,17,1,1,6.71,0.04,4,7.5,1,5,1,15.3,3,20.63,280,8.8,909,sw_0
SW_S19S.0067_U_2,11.95,1,NA,NA,0.08,17,1,1,6.54,0.04,4,7.5,1,5,1,15.08,3,20.63,280,8.8,909,sw_0
SW_S19S.0067_U_3,11.25,1,NA,NA,0.08,17,1,1,6.69,0.04,4,7.5,1,5,1,14.08,3,20.63,280,8.8,909,sw_0
SW_S19S.0068_U_1,3.35,1,-10.86,-73.1,0.03,11,0,0,0.13,0.04,1,6,1,9,1,0.6,3,14.7,514,9.5,1837,sw_2
SW_S19S.0068_U_2,3.33,1,NA,NA,0.04,11,0,0,0.15,0.04,1,6,1,9,1,0.58,3,14.7,514,9.5,1837,sw_2
SW_S19S.0068_U_3,3.37,1,NA,NA,0.04,11,0,0,0.15,0.04,1,6,1,9,1,0.58,3,14.7,514,9.5,1837,sw_1
SW_S19S.0069_U_1,15.02,1,-5.86,-36.1,0.09,11,2,1,0.12,0.04,3,6.5,1,5,1,10.24,1,15,184,11.1,1160,sw_2
SW_S19S.0069_U_2,15.05,1,NA,NA,0.1,11,2,1,0.12,0.04,3,6.5,1,5,1,10.25,1,15,184,11.1,1160,sw_2
SW_S19S.0069_U_3,14.93,1,NA,NA,0.1,11,2,1,0.12,0.04,3,6.5,1,5,1,10.15,1,15,184,11.1,1160,sw_2
SW_S19S.0070_U_1,20.83,1,-6.21,-38.1,0.06,12,2,1,0.12,0.04,3,6.5,1,5,1,6.94,1,16,184,11.1,1159,sw_2
SW_S19S.0070_U_2,20.76,1,NA,NA,0.07,12,2,1,0.12,0.04,3,6.5,1,5,1,7.19,1,16,184,11.1,1159,sw_2
SW_S19S.0070_U_3,20.76,1,NA,NA,0.07,12,2,1,0.12,0.04,3,6.5,1,5,1,7.18,1,16,184,11.1,1159,sw_2
SW_S19S.0071_U_1,0.46,1,NA,NA,0.09,9,1,0,0.12,0.04,1,7,1,9,1,3.7,1,11.5,2535,3.8,485,sw_2
SW_S19S.0071_U_2,0.44,1,-16.7,-121.4,0.07,9,1,0,0.12,0.04,1,7,1,9,1,4.7,1,11.5,2535,3.8,485,sw_2
SW_S19S.0071_U_3,0.48,1,NA,NA,0.08,9,1,0,0.12,0.04,1,7,1,9,1,3.65,1,11.5,2535,3.8,485,sw_2
SW_S19S.0072_U_1,261.01,1,-8.33,-53.9,0.02,11,1,1,3.5,0.04,2,6,1,5,2,16.66,1,18.5,47,9.2,1115,sw_0
SW_S19S.0072_U_2,295.29,1,NA,NA,0.07,11,1,1,3.31,0.04,2,6,1,5,2,19.04,1,18.5,47,9.2,1115,sw_0
SW_S19S.0072_U_3,282.66,1,NA,NA,0.02,11,1,1,3.44,0.04,2,6,1,5,2,17.35,1,18.5,47,9.2,1115,sw_0
SW_S19S.0073_U_1,95.35,1,-6.18,-42.2,0.03,3,1,1,0.55,0.04,4,6.5,0,5,3,2.95,1,16.9,19,9.1,1148,sw_0
SW_S19S.0073_U_2,94.1,1,NA,NA,0.04,3,1,1,0.53,0.04,4,6.5,0,5,3,2.71,1,16.9,19,9.1,1148,sw_0
SW_S19S.0073_U_3,94.22,1,NA,NA,0.04,3,1,1,0.51,0.04,4,6.5,0,5,3,32.57,1,16.9,19,9.1,1148,sw_0
SW_S19S.0074_U_1,1.27,2,-16.04,-124.4,0.09,16,2,1,0.43,0.04,,6.5,0,0,2,10.12,8,11,110,12,184,sw_0
SW_S19S.0074_U_2,1.21,2,NA,NA,0.08,16,2,1,0.39,0.04,,6.5,0,0,2,9.82,8,11,110,12,184,sw_0
SW_S19S.0074_U_3,1.25,2,NA,NA,0.08,16,2,1,0.39,0.04,,6.5,0,0,2,9.86,8,11,110,12,184,sw_0
SW_S19S.0075_U_1,1.06,2,-17.32,-130.6,0.08,17,2,1,0.18,0.04,,6.5,0,0,1,9.54,8,11,115,11.8,176,sw_0
SW_S19S.0075_U_2,1.04,2,NA,NA,0.08,17,2,1,0.19,0.04,,6.5,0,0,1,9.49,8,11,115,11.8,176,sw_0
SW_S19S.0075_U_3,1.08,2,NA,NA,0.07,17,2,1,0.18,0.04,,6.5,0,0,1,9.12,8,11,115,11.8,176,sw_2
SW_S19S.0076_U_1,1.45,2,-16.96,-128.5,0.09,7,0,0,0.12,0.04,,6.5,0,0,3,9.87,8,14,116,11.8,176,sw_0
SW_S19S.0076_U_2,1.36,2,NA,NA,0.09,7,0,0,0.12,0.04,,6.5,0,0,3,9.77,8,14,116,11.8,176,sw_0
SW_S19S.0076_U_3,1.31,2,NA,NA,0.08,7,0,0,0.15,0.04,,6.5,0,0,3,9.85,8,14,116,11.8,176,sw_0
SW_S19S.0077_U_1,0.78,1,-16.69,-122.2,0.16,17,2,1,0.12,0.04,,6.5,0,5,1,3.47,6,18,1602,8.7,368,sw_0
SW_S19S.0077_U_2,0.62,1,NA,NA,0.16,17,2,1,0.12,0.04,,6.5,0,5,1,2.52,6,18,1602,8.7,368,sw_2
SW_S19S.0077_U_3,0.75,1,NA,NA,0.18,17,2,1,0.12,0.04,,6.5,0,5,1,3.6,6,18,1602,8.7,368,sw_2
SW_S19S.0078_U_1,3.5,1,-7.86,-57.6,0.06,11,2,1,0.12,0.04,,7,0,5,2,8.6,2,19,176,11.8,1277,sw_0
SW_S19S.0078_U_2,3.51,1,NA,NA,0.07,11,2,1,0.12,0.04,,7,0,5,2,8.35,2,19,176,11.8,1277,sw_2
SW_S19S.0078_U_3,3.48,1,NA,NA,0.06,11,2,1,0.12,0.04,,7,0,5,2,8.13,2,19,176,11.8,1277,sw_0
SW_S19S.0079_U_1,3.7,1,-11.88,-87,0.07,11,0,1,0.12,0.04,,7.9,0,5,2,3.7,6,19,50,12.3,1347,sw_0
SW_S19S.0079_U_2,3.67,1,NA,NA,0.06,11,0,1,0.12,0.04,,7.9,0,5,2,2.42,6,19,50,12.3,1347,sw_0
SW_S19S.0079_U_3,3.69,1,NA,NA,0.05,11,0,1,0.19,0.04,,7.9,0,5,2,2,6,19,50,12.3,1347,sw_0
SW_S19S.0080_U_1,13.76,,-12.64,-92.9,0.27,3,0,2,1.54,0.04,,8.11,NA,20,3,27.3,7,22.7,1494,13.4,214,sw_0
SW_S19S.0080_U_2,14.99,,NA,NA,0.26,3,0,2,1.27,0.04,,8.11,NA,20,3,79.17,7,22.7,1494,13.4,214,sw_0
SW_S19S.0081_U_1,92.26,,-5.6,-34.1,0.09,0,2,1,2.95,0.04,2,6.5,1,20,1,11.64,4,27,16,13,1053,sw_0
SW_S19S.0081_U_2,90.4,,NA,NA,0.1,0,2,1,2.9,0.04,2,6.5,1,20,1,11.49,4,27,16,13,1053,sw_0
SW_S19S.0081_U_3,92.06,,NA,NA,0.1,0,2,1,2.74,0.04,2,6.5,1,20,1,11.52,4,27,-3,13.3,1063,sw_0
SW_S19S.0082_U_1,3874.53,,-4.9,-32.4,0.02,7,1,1,0.12,0.04,1,7,1,20,3,515.7,3,31.4,-3,13.3,1063,sw_0
SW_S19S.0082_U_2,132,,NA,NA,0.02,7,1,1,0.12,0.04,1,7,1,20,3,561.17,3,31.4,-3,13.3,1063,sw_0
SW_S19S.0082_U_3,3964.3,,NA,NA,0.02,7,1,1,0.12,0.04,1,7,1,20,3,535.06,3,31.4,217,10.6,932,sw_0
